идентификатор ZINC	название	SMILES формула	мол. вес, г/моль	LogP	брутто-формула	число колец	число тяжелых атомов	число гетероатомов	pH	заряд	число доноров H-связи	число акцепторов H-связи	площадь полярной поверхности, кв. А	число вращающихся связей
ZINC000013515301	17-Beta-Estradiol	C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@@H]3[C@@H]1CC[C@@H]2O[C@@H]1O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]1O	448.512	1.526	C24H32O8	5	32	8	Reference	-1	4	8	139	3
ZINC000013515300	17-Beta-Estradiol	C[C@]12CC[C@H]3c4ccc(O)cc4CC[C@@H]3[C@@H]1CC[C@@H]2O[C@@H]1O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]1O	448.512	1.526	C24H32O8	5	32	8	Reference	-1	4	8	139	3
ZINC000013515299	17-Beta-Estradiol	C[C@]12CC[C@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O[C@@H]1O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]1O	448.512	1.526	C24H32O8	5	32	8	Reference	-1	4	8	139	3
ZINC000072131126	17-Desacetyl-Rocuronium	C=CC[N+]1([C@H]2C[C@H]3[C@@H]4CC[C@H]5C[C@H](O)[C@@H](N6CCOCC6)C[C@]5(C)[C@H]4CC[C@]3(C)[C@H]2O)CCCC1	487.749	3.837	C30H51N2O3+	6	35	5	Reference	2	3	3	54	4
ZINC000100034396	1,7-Dimethyluric	Cn1c(=O)[nH]c2[nH]c(=O)n(C)c2c1=O	196.166	-1.746	C7H8N4O3	2	14	7	Reference	0	2	5	92	0
ZINC000006067922	17-Hydroxymethylethisterone	C#C[C@@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)[C@H](CO)C[C@]4(C)[C@H]3CC[C@@]21C	342.479	3.101	C22H30O3	4	25	3						
ZINC000006067936	17-Hydroxymethylethisterone	C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)[C@H](CO)C[C@]4(C)[C@H]3CC[C@@]21C	342.479	3.101	C22H30O3	4	25	3						
ZINC000005167248	17-Hydroxypregnenolone	CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CC=C4C[C@@H](OS(=O)(=O)O)CC[C@]4(C)[C@H]3CC[C@@]21C	412.548	3.457	C21H32O6S	4	28	7	Reference	-1	1	6	103	3
ZINC000005167249	17-Hydroxypregnenolone	CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3CC=C4C[C@H](OS(=O)(=O)O)CC[C@]4(C)[C@H]3CC[C@@]21C	412.548	3.457	C21H32O6S	4	28	7	Reference	-1	1	6	103	3
ZINC000030731379	18-Hydroxyretinoic	CC(/C=C/C1=C(CO)CCCC1(C)C)=C\C=C\C(C)=C\C(=O)O	316.441	4.575	C20H28O3	1	23	3	Reference	-1	1	3	60	6
ZINC000002584392	1,9-Dimethyl-2,6,8-Trihydroxypurine	Cn1c(O)nc2c([nH]c(=O)n2C)c1=O	196.166	-1.334	C7H8N4O3	2	14	7	Reference	0	2	5	92	0
ZINC000100053845	1-Amino-3-Hydroxymethyl-5-Methyl-Adamantane	C[C@@]12C[C@@H]3C[C@@](N)(C1)C[C@@](CO)(C3)C2	195.306	1.667	C12H21NO	4	14	2						
ZINC000100053855	1-Amino-3-Hydroxymethyl-5-Methyl-Adamantane	C[C@@]12C[C@H]3C[C@@](N)(C1)C[C@@](CO)(C3)C2	195.306	1.667	C12H21NO	4	14	2						
ZINC000100053849	1-Amino-3-Hydroxymethyl-5-Methyl-Adamantane	C[C@]12C[C@@H]3C[C@@](N)(C1)C[C@@](CO)(C3)C2	195.306	1.667	C12H21NO	4	14	2						
ZINC000100053860	1-Amino-3-Hydroxymethyl-5-Methyl-Adamantane	C[C@]12C[C@H]3C[C@@](N)(C1)C[C@@](CO)(C3)C2	195.306	1.667	C12H21NO	4	14	2						
ZINC000095618845	1-Beta-Hydroxymedroxyprogesterone	CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3C[C@H](C)C4=CC(=O)C[C@@H](O)[C@]4(C)[C@H]3CC[C@@]21C	360.494	3.055	C22H32O4	4	26	4						
ZINC000001540640	1-Hydroxycarvedilol	COc1ccccc1OCCNC[C@@H](O)COc1ccc(O)c2[nH]c3ccccc3c12	422.481	3.444	C24H26N2O5	4	31	7	Reference	0	4	5	100	10
ZINC000006019305	1-Hydroxycarvedilol	COc1ccccc1OCCNC[C@H](O)COc1ccc(O)c2[nH]c3ccccc3c12	422.481	3.444	C24H26N2O5	4	31	7	Reference	1	4	5	100	10
ZINC000022060695	1-Hydroxyibuprofen	CC(C)[C@@H](O)c1ccc([C@@H](C)C(=O)O)cc1	222.284	2.564	C13H18O3	1	16	3	Reference	-1	1	3	60	4
ZINC000022060701	1-Hydroxyibuprofen	CC(C)[C@@H](O)c1ccc([C@H](C)C(=O)O)cc1	222.284	2.564	C13H18O3	1	16	3	Reference	-1	1	3	60	4
ZINC000022060698	1-Hydroxyibuprofen	CC(C)[C@H](O)c1ccc([C@@H](C)C(=O)O)cc1	222.284	2.564	C13H18O3	1	16	3	Reference	-1	1	3	60	4
ZINC000022060704	1-Hydroxyibuprofen	CC(C)[C@H](O)c1ccc([C@H](C)C(=O)O)cc1	222.284	2.564	C13H18O3	1	16	3	Reference	-1	1	3	60	4
ZINC000095618603	1-Hydroxylorcaserin	C[C@@]1(O)CNCCc2ccc(Cl)cc21	211.692	1.693	C11H14ClNO	2	14	3						
ZINC000095618602	1-Hydroxylorcaserin	C[C@]1(O)CNCCc2ccc(Cl)cc21	211.692	1.693	C11H14ClNO	2	14	3						
ZINC000001063081	1-Methyl-4-Nitroimidazole	Cn1cnc([N+](=O)[O-])c1	127.103	0.328	C4H5N3O2	1	9	5	Reference	0	0	4	60	1
ZINC000001845780	1-Methylurate	Cn1c(O)nc2nc(O)[nH]c2c1=O	182.139	-0.932	C6H6N4O3	2	13	7	Reference	0	3	4	103	0
ZINC000013517144	1-Methylxanthine	Cn1c(=O)[nH]c2nc[nH]c2c1=O	166.14	-1.05	C6H6N4O2	2	12	6	Reference	0	2	4	83	0
ZINC000001693280	1-Naphtaldehyde	O=Cc1cccc2ccccc12	156.184	2.652	C11H8O	2	12	1	Reference	0	0	1	17	1
ZINC000000066064	1-Pyrimidinylpiperazine	c1cnc(N2CCNCC2)nc1	164.212	-0.114	C8H12N4	2	12	4	Reference	1	1	3	45	1
ZINC000013829478	1-Salicylate	O=C(O)c1ccccc1O[C@@H]1O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]1O	314.246	-1.344	C13H14O9	2	22	9	Reference	-2	3	9	159	4
ZINC000100242776	20-Dihydrodydrogesterone	C=C1C=C2C=C[C@@H]3[C@H](CC[C@@]4(C)[C@H]3CC[C@@H]4C(C)C)[C@@]2(C)CC1	310.525	6.554	C23H34	4	23	0						
ZINC000034187835	2&#39;,2&#39;-Difluorodeoxyuridine	O=c1ccn([C@H]2O[C@@H](CO)[C@@H](O)C2(F)F)c(=O)[nH]1	264.184	-1.578	C9H10F2N2O5	2	18	9	Reference	0	3	6	104	2
ZINC000012501706	2&#39;,3&#39;-Dideoxyadenosine	Nc1ncnc2c1ncn2[C@H]1CC[C@@H](CO[P@](=O)(O)O[P@@](=O)(O)OP(=O)(O)O)O1	475.184	0.429	C10H16N5O11P3	3	29	19	Reference	-4	1	16	249	8
ZINC000000901616	2,3-Butandiol	C[C@@H](O)[C@@H](C)O	90.122	-0.252	C4H10O2	0	6	2	Reference	0	2	2	40	1
ZINC000000001548	2,3-Cresotate	Cc1cccc(C(=O)O)c1O	152.149	1.399	C8H8O3	1	11	3	Reference	-1	1	3	60	1
ZINC000030731214	2,3-Dihydroxycarbamazepine	NC(=O)N1c2ccccc2C=Cc2cc(O)c(O)cc21	268.272	2.798	C15H12N2O3	3	20	5	Reference	0	3	3	86	0
ZINC000005187769	2,4,6(1h,3h,5h-Pyrimidinetrione)	O=C1CC(=O)NC(O)=N1	128.087	-1.053	C4H4N2O3	1	9	5	Reference	-1	2	3	88	0
ZINC000000389291	2,4-Diamino-6,7-Dimethoxyquinazoline	COc1cc2nc(N)nc(N)c2cc1OC	220.232	0.811	C10H12N4O2	2	16	6	Reference	1	2	5	97	2
ZINC000053122793	2,4-Diaminobutyrate	NCC[C@@H](N)C(=O)O	118.136	-1.253	C4H10N2O2	0	8	4	Reference	1	2	2	95	3
ZINC000022066121	2,4-Diene-Vpa	C=C/C=C(\CCC)C(=O)O	140.182	1.984	C8H12O2	0	10	2	Reference	-1	0	2	40	4
ZINC000096298875	2,6-Dihydroanthra/1,9-Cd/pyrazol-6-One	O=C1c2ccccc2-c2[nH]nc3cccc1c23	220.231	2.774	C14H8N2O	4	17	3	Reference	0	1	2	45	0
ZINC000000900692	2,6-Dimethylaniline	Cc1cccc(C)c1N	121.183	1.886	C8H11N	1	9	1	Reference	0	1	1	26	0
ZINC000084316941	2,6-Pipecoloxylidide	Cc1cccc(C)c1/N=C(/O)[C@@H]1CCCCN1	232.327	3.034	C14H20N2O	2	17	3	Reference	1	2	1	45	2
ZINC000095618615	2,6-Pipecoloxylidide	Cc1cccc(C)c1/N=C(\O)[C@H]1CCCCN1	232.327	3.034	C14H20N2O	2	17	3	Reference	1	2	1	45	2
ZINC000000404287	2-Amino-3-Methylbenzoate	Cc1cccc(C(=O)O)c1N	151.165	1.275	C8H9NO2	1	11	3	Reference	-1	1	3	66	1
ZINC000029130869	2-Amino-5,6-Dichloro-3,4,-Dihydroquinazoline	N=C1NCc2c(ccc(Cl)c2Cl)N1	216.071	2.443	C8H7Cl2N3	2	13	5	Reference	1	3	0	49	0
ZINC000004068309	2-Amino-5-Benzoylbenzimidazole	Nc1nc2cc(C(=O)c3ccccc3)ccc2[nH]1	237.262	2.376	C14H11N3O	3	18	4	Reference	0	2	3	71	2
ZINC000082004496	2-Beta-Hydroxymedroxyprogesterone	CC(=O)[C@@]1(O)CC[C@H]2[C@@H]3C[C@H](C)C4=CC(=O)[C@@H](O)C[C@]4(C)[C@H]3CC[C@@]21C	360.494	3.055	C22H32O4	4	26	4						
ZINC000001081066	2-Carboxypyrazine	O=C(O)c1cnccn1	124.099	0.175	C5H4N2O2	1	9	4	Reference	-1	0	4	65	1
ZINC000095618609	2-Chloro-2&#39;-Deoxyadenosine-5&#39;-Triphosphate	Nc1nc(Cl)nc2c1ncn2[C@H]1C[C@H](O)[C@@H](CO[P@](=O)(O)O[P@](=O)(O)OP(=O)(O)O)O1	525.628	0.054	C10H15ClN5O12P3	3	31	21						
ZINC000095617646	2-Chloroticlopidine	Clc1cc2c(s1)CCN(Cc1ccccc1Cl)C2	298.238	4.613	C14H13Cl2NS	3	18	4	Reference	0	0	2	3	2
ZINC000022066124	2-Ene-Valproic	CC/C=C(\CCC)C(=O)O	142.198	2.207	C8H14O2	0	10	2	Reference	-1	0	2	40	4
ZINC000229983969	2-Ene-Valproic	CC/C=C(\CCC)C(=O)SCC/N=C(\O)CC/N=C(\O)[C@@H](O)C(C)(C)CO[P@](=O)(O)O[P@](=O)(O)OC[C@@H]1O[C@H](n2cnc3c(N)ncnc32)[C@@H](O)[C@H]1OP(=O)(O)O	891.724	2.482	C29H48N7O17P3S	3	57	28						
ZINC000000409879	2-(ethoxycarbonylbenzoate)	CCOC(=O)c1ccccc1C(=O)O	194.186	1.562	C10H10O4	1	14	4	Reference	-1	0	4	66	3
ZINC000030731351	2-Ethyl-5-Methyl-3,3-Diphenyl-1-Pyrroline	CCC1=N[C@@H](C)CC1(c1ccccc1)c1ccccc1	263.384	4.616	C19H21N	3	20	1	Reference	1	1	0	13	3
ZINC000030731355	2-Ethyl-5-Methyl-3,3-Diphenyl-1-Pyrroline	CCC1=N[C@H](C)CC1(c1ccccc1)c1ccccc1	263.384	4.616	C19H21N	3	20	1	Reference	1	1	0	13	3
ZINC000001713704	2h-Dibenz[b,f]azepin-2-One	O=c1ccc2nc3ccccc3ccc-2c1	207.232	2.7	C14H9NO	3	16	2	Reference	0	0	2	29	0
ZINC000085589009	2hen-3s	C[C@]12CC[C@@H]3c4cc(O)c(OS(=O)(=O)O)cc4CC[C@@H]3[C@@H]1CCC2=O	366.435	2.999	C18H22O6S	4	25	7	Reference	-1	1	6	103	2
ZINC000031705519	2hen-3s	C[C@]12CC[C@@H]3c4cc(O)c(OS(=O)(=O)O)cc4CC[C@H]3[C@@H]1CCC2=O	366.435	2.999	C18H22O6S	4	25	7	Reference	-1	1	6	103	2
ZINC000085589012	2hen-3s	C[C@]12CC[C@H]3c4cc(O)c(OS(=O)(=O)O)cc4CC[C@@H]3[C@@H]1CCC2=O	366.435	2.999	C18H22O6S	4	25	7	Reference	-1	1	6	103	2
ZINC000031705512	2hen-3s	C[C@]12CC[C@H]3c4cc(O)c(OS(=O)(=O)O)cc4CC[C@H]3[C@@H]1CCC2=O	366.435	2.999	C18H22O6S	4	25	7	Reference	-1	1	6	103	2
ZINC000002380356	2-Hydroxy-4-Trifluoromethyl	O=C(O)c1ccc(C(F)(F)F)cc1O	206.119	2.109	C8H5F3O3	1	14	6	Reference	-1	1	3	60	1
ZINC000006117174	2-Hydroxycarbamazepine	NC(=O)N1c2ccccc2C=Cc2cc(O)ccc21	252.273	3.093	C15H12N2O2	3	19	4	Reference	0	2	2	66	0
ZINC000095617665	2-Hydroxychlorpropamide	CCCNC(=O)NS(=O)(=O)c1ccc(Cl)cc1O	292.744	1.444	C10H13ClN2O4S	1	18	8	Reference	-2	1	4	100	4
ZINC000038421485	2-Hydroxyclomipramine	CN(C)CCCN1c2ccccc2CCc2cc(O)c(Cl)cc21	330.859	4.234	C19H23ClN2O	3	23	4						
ZINC000005140934	2-Hydroxydesipramine	CNCCCN1c2ccccc2CCc2cc(O)ccc21	282.387	3.238	C18H22N2O	3	21	3	Reference	1	2	2	40	4
ZINC000077293633	2-Hydroxy-Desipramine	CNCCCN1c2ccccc2CCc2cc(O[C@@H]3O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]3O)ccc21	458.511	0.804	C24H30N2O7	4	33	9	Reference	0	4	8	139	7
ZINC000100054741	2-Hydroxyethinylestradiol	C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)c(O)cc4[C@@H]3CC[C@@]21C	312.409	3.318	C20H24O3	4	23	3						
ZINC000100054736	2-Hydroxyethinylestradiol	C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)c(O)cc4[C@@H]3CC[C@]21C	312.409	3.318	C20H24O3	4	23	3						
ZINC000110344463	2-Hydroxyethinylestradiol	C#C[C@]1(O)CC[C@@H]2[C@@H]3CCc4cc(O)c(O)cc4[C@@H]3CC[C@@]21C	312.409	3.318	C20H24O3	4	23	3	Reference	0	3	3	60	0
ZINC000005764428	2-Hydroxyethinylestradiol	C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)c(O)cc4[C@H]3CC[C@@]21C	312.409	3.318	C20H24O3	4	23	3	Reference	0	3	3	60	0
ZINC000083294652	2-Hydroxyethinylestradiol	C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)c(O)cc4[C@H]3CC[C@]21C	312.409	3.318	C20H24O3	4	23	3	Reference	0	3	3	60	0
ZINC000013433448	2-Hydroxyethylhydrazine	C/C=C\CC/C=C\CCC(=O)OC	182.263	2.852	C11H18O2	0	13	2	Reference	0	0	2	26	6
ZINC000030731143	2-Hydroxyfelbamate	NC(=O)OCC(O)(COC(N)=O)c1ccccc1	254.242	0.065	C11H14N2O5	1	18	7	Reference	0	3	5	124	5
ZINC000022060707	2-Hydroxyibuprofen	C[C@@H](C(=O)O)c1ccc(CC(C)(C)O)cc1	222.284	2.188	C13H18O3	1	16	3	Reference	-1	1	3	60	4
ZINC000022060709	2-Hydroxyibuprofen	C[C@H](C(=O)O)c1ccc(CC(C)(C)O)cc1	222.284	2.188	C13H18O3	1	16	3	Reference	-1	1	3	60	4
ZINC000030731219	2-Hydroxyiminostilbene	Oc1ccc2c(c1)C=Cc1ccccc1N2	209.248	3.62	C14H11NO	3	16	2	Reference	0	2	2	32	0
ZINC000005140429	2-Hydroxyimipramine	CN(C)CCCN1c2ccccc2CCc2cc(O)ccc21	296.414	3.581	C19H24N2O	3	22	3	Reference	1	2	2	27	4
ZINC000077300530	2-Hydroxy-Imipramine	CN(C)CCCN1c2ccccc2CCc2cc(O[C@@H]3O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]3O)ccc21	472.538	1.146	C25H32N2O7	4	34	9	Reference	0	4	8	126	7
ZINC000053166256	2-Hydroxymethylolanzapine	CN1CCN(C2=Nc3ccccc3Nc3sc(CO)cc32)CC1	328.441	2.623	C17H20N4OS	4	23	6	Reference	0	2	6	51	1
ZINC000001492251	2-Hydroxymethyl-Pyrrolidine-3,4-Diol	OC[C@@H]1NC[C@H](O)[C@H]1O	133.147	-2.328	C5H11NO3	1	9	4	Reference	1	4	3	77	1
ZINC000006071738	2-Hydroxymexiletine	Cc1cccc(CO)c1OC[C@@H](C)N	195.262	1.213	C11H17NO2	1	14	3	Reference	1	2	2	57	4
ZINC000006071742	2-Hydroxymexiletine	Cc1cccc(CO)c1OC[C@H](C)N	195.262	1.213	C11H17NO2	1	14	3	Reference	1	2	2	57	4
ZINC000095618614	2-Hydroxynevirapine	Cc1cc(O[C@@H]2O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]2O)nc2c1N=C(O)c1cccnc1N2C1CC1	458.427	0.306	C21H22N4O8	5	33	12						
ZINC000022060952	2-Hydroxynevirapine	Cc1cc(=O)[nH]c2c1NC(=O)c1cccnc1N2C1CC1	282.303	1.945	C15H14N4O2	4	21	6	Reference	0	2	4	78	1
ZINC000004099002	2-Methoxy-Estradiol-17b	COc1cc2c(cc1O[C@@H]1O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]1O)CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](O)CC[C@@H]12	478.538	1.183	C25H34O9	5	34	9	Reference	-1	4	9	148	4
ZINC000012496345	2-Methoxyestrone	COc1cc2c(cc1O[C@@H]1O[C@H](O)[C@@H](O)[C@H](O)[C@H]1O)CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12	448.512	1.257	C24H32O8	5	32	8	Reference	0	4	8	125	3
ZINC000001081286	2-Methylquinoline	Cc1ccc2ccccc2n1	143.189	2.543	C10H9N	2	11	1	Reference	0	0	1	12	0
ZINC000000967928	2-Naftol	Oc1ccc2ccccc2c1	144.173	2.545	C10H8O	2	11	1	Reference	0	1	1	20	0
ZINC000013546731	2-Oxobrimonidine	O=c1cnc2c(Br)c(NC3=NCCN3)ccc2[nH]1	308.139	1.057	C11H10BrN5O	3	18	7						
ZINC000096077887	2-Oxomelatonin	COc1ccc2c(c1)[C@@H](CCNC(C)=O)C(=O)N2	248.282	1.257	C13H16N2O3	2	18	5						
ZINC000033994719	2-Oxomelatonin	COc1ccc2c(c1)[C@H](CCNC(C)=O)C(=O)N2	248.282	1.257	C13H16N2O3	2	18	5						
ZINC000065748340	2-Oxoticlopidine	O=C1C=C2CN(Cc3ccccc3Cl)CC[C@@H]2S1	279.792	3.114	C14H14ClNOS	3	18	4	Reference	0	0	3	20	2
ZINC000065748339	2-Oxoticlopidine	O=C1C=C2CN(Cc3ccccc3Cl)CC[C@H]2S1	279.792	3.114	C14H14ClNOS	3	18	4	Reference	0	0	3	20	2
ZINC000000006556	2-Phenyl-1,3-Propanediol	N=C(O)OC[C@@H](CO)c1ccccc1	195.218	1.272	C10H13NO3	1	14	4	Reference	0	2	3	72	4
ZINC000003612845	2-Phenyl-1,3-Propanediol	N=C(O)OC[C@H](CO)c1ccccc1	195.218	1.272	C10H13NO3	1	14	4	Reference	0	2	3	72	4
ZINC000005838479	2-Propylglutaric	CCC[C@@H](CCC(=O)O)C(=O)O	174.196	1.352	C8H14O4	0	12	4	Reference	-2	0	4	80	6
ZINC000002578948	2-Propylglutaric	CCC[C@H](CCC(=O)O)C(=O)O	174.196	1.352	C8H14O4	0	12	4	Reference	-2	0	4	80	6
ZINC000000156530	2-Pyridylacetic	O=C(O)Cc1ccccn1	137.138	0.709	C7H7NO2	1	10	3	Reference	-1	0	3	53	2
ZINC000013478606	2-Trans-Hydroxycyclohexyl	COc1ccc(Cl)cc1/C(O)=N/CCc1ccc(S(=O)(=O)/N=C(/O)N[C@H]2CCCC[C@@H]2O)cc1	510.012	3.392	C23H28ClN3O6S	3	34	11						
